Ціна,Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Місто,Район,Працює ліфт,Підключене резервне живлення
60868.0,16,22,130.0,20.0,3 кімнати,З меблями,Авторський проект,Одеса,Приморський (Одеса),1,1
5000.0,9,9,52.0,6.0,2 кімнати,З меблями,Косметичний ремонт,Харків,Немишлянський (Харків),0,0
12174.0,11,12,47.0,12.0,1 кімната,З меблями,Євроремонт,Івано-Франківськ,Невідомо,0,0
5000.0,1,1,32.0,5.0,1 кімната,З меблями,Житловий стан,Дніпро,Центральний (Дніпро),0,0
24000.0,10,12,53.0,8.0,1 кімната,З меблями,Авторський проект,Дніпро,Центральний (Дніпро),0,0
16231.0,6,9,42.0,10.0,1 кімната,З меблями,Авторський проект,Ужгород,Невідомо,0,1
12000.0,3,3,30.0,7.0,1 кімната,З меблями,Євроремонт,Львів,Залізничний (Львів),0,0
18000.0,8,20,56.0,25.0,1 кімната,Не вказано,Не вказано,Бориспіль,Невідомо,1,0
32000.0,5,12,52.0,12.0,2 кімнати,Не вказано,Не вказано,Дніпро,Соборний (Дніпро),0,0
23000.0,14,18,127.0,15.0,3 кімнати,З меблями,Євроремонт,Київ,Дарницький (Київ),0,0
16231.0,6,12,70.0,12.0,2 кімнати,З меблями,Євроремонт,Івано-Франківськ,Невідомо,0,0
24347.0,4,13,39.1,13.0,1 кімната,З меблями,Не вказано,Львів,Шевченківський (Львів),0,0
15400.0,4,5,20.0,3.0,1 кімната,З меблями,Авторський проект,Київ,Святошинський (Київ),0,0
12000.0,8,14,55.0,12.0,2 кімнати,З меблями,Євроремонт,Одеса,Приморський (Одеса),0,1
9500.0,1,4,64.0,9.0,3 кімнати,З меблями,Євроремонт,Харків,Шевченківський  (Харків),0,0
9000.0,5,25,65.0,12.0,2 кімнати,З меблями,Авторський проект,Одеса,Пересипський (Одеса),0,1
15000.0,2,16,73.0,9.0,3 кімнати,З меблями,Євроремонт,Київ,Дарницький (Київ),0,0
15500.0,14,15,60.0,10.0,2 кімнати,З меблями,Косметичний ремонт,Київ,Святошинський (Київ),0,0
6000.0,3,5,30.0,10.0,1 кімната,Не вказано,Житловий стан,Київ,Святошинський (Київ),0,0
6000.0,5,5,50.0,9.0,2 кімнати,Не вказано,Не вказано,Одеса,Київський (Одеса),0,0
8500.0,5,5,53.0,6.0,3 кімнати,З меблями,Не вказано,Умань,Невідомо,0,0
8500.0,16,17,40.0,9.0,2 кімнати,З меблями,Євроремонт,Одеса,Пересипський (Одеса),1,0
12000.0,8,16,75.0,9.0,2 кімнати,З меблями,Житловий стан,Київ,Святошинський (Київ),1,0
20000.0,19,24,45.0,6.0,1 кімната,З меблями,Євроремонт,Київ,Солом'янський (Київ),0,0
97389.0,11,18,150.0,18.0,3 кімнати,З меблями,Авторський проект,Київ,Печерський (Київ),0,0
9000.0,2,14,36.0,14.0,1 кімната,З меблями,Косметичний ремонт,Рівне,Невідомо,0,0
15000.0,6,10,41.3,14.9,1 кімната,З меблями,Євроремонт,Софіївська Борщагівка,Невідомо,0,0
